id,lat,lon,name,brand,website,amenity,shop,cuisine_raw,opening_hours,store_type_label,cuisine_labels,domain_tokens,text_seed
944649483,41.140498,-81.3564348,DQ Grill & Chill,DQ Grill & Chill,https://www.dairyqueen.com/locations/oh/kent/1443-s-water-st/14304,fast_food,,ice_cream;burger,,fast_food,"['burger', 'ice_cream']",www dairyqueen com,DQ Grill & Chill DQ Grill & Chill www dairyqueen com
1909606906,41.1019995,-81.3459376,Pizza Hut,Pizza Hut,https://locations.pizzahut.com/oh/kent/4118-state-hwy-43,restaurant,,pizza,,restaurant,['pizza'],locations pizzahut com,Pizza Hut Pizza Hut locations pizzahut com
1909606958,41.1005633,-81.3434773,Subway,Subway,https://restaurants.subway.com/united-states/oh/kent/4068-sr-43,fast_food,,sandwich,08:00-21:00,fast_food,['sandwich'],restaurants subway com,Subway Subway restaurants subway com
2419993489,41.1476665,-81.3429495,The Porch,,https://www.kent.edu/dining/student-center-lower-level,restaurant,,,,restaurant,[],www kent edu,The Porch  www kent edu
2424924290,41.1476721,-81.3431531,Jazzman's Cyber Cafe,,https://www.kent.edu/dining/student-center-lower-level,cafe,,coffee_shop,,cafe,['coffee'],www kent edu,Jazzman's Cyber Cafe  www kent edu
2434607393,41.1478389,-81.3431676,The Tandoori Oven,,https://www.kent.edu/dining/kent-markets,restaurant,,indian,Mo-Th 08:00-20:00; Fr 08:00-14:00; PH off,restaurant,['indian'],www kent edu,The Tandoori Oven  www kent edu
2434607395,41.147842,-81.3431991,Fresh Inspirations,,https://www.kent.edu/dining/kent-markets,restaurant,,american,Mo-Th 08:00-20:00; Fr 08:00-14:00; PH off,restaurant,['american'],www kent edu,Fresh Inspirations  www kent edu
2434607396,41.1478641,-81.343231,Olives,,https://www.kent.edu/dining/kent-markets,restaurant,,italian,Mo-Th 08:00-20:00; Fr 08:00-14:00; PH off,restaurant,['italian'],www kent edu,Olives  www kent edu
2434607397,41.1479334,-81.3432271,Market Deli,,https://www.kent.edu/dining/kent-markets,,deli,,Mo-Th 08:00-20:00; Fr 08:00-14:00; PH off,deli,[],www kent edu,Market Deli  www kent edu
2434607398,41.1479035,-81.3432489,Market Grill,,https://www.kent.edu/dining/kent-markets,restaurant,,burger;american,Mo-Th 08:00-20:00; Fr 08:00-14:00; PH off,restaurant,"['american', 'burger']",www kent edu,Market Grill  www kent edu
2439068995,41.14998,-81.3467233,DI Dining Facility,,https://www.kent.edu/dining/design-innovation-dining,restaurant,,,,restaurant,[],www kent edu,DI Dining Facility  www kent edu
2451963743,41.1543431,-81.3526364,Penn Station,Penn Station,,fast_food,,sandwich,,fast_food,['sandwich'],,Penn Station Penn Station
2451974646,41.1545653,-81.3523579,Bruno's Authentic Pizza,,,restaurant,,pizza,,restaurant,['pizza'],,Bruno's Authentic Pizza
2452321502,41.141413,-81.3402224,Summit Street Cafe,,https://www.kent.edu/dining/summit-street-cafe-1,restaurant,,ice_cream,,restaurant,['ice_cream'],www kent edu,Summit Street Cafe  www kent edu
2452437694,41.1472973,-81.3482523,snackshop,,,cafe,,sandwich,,cafe,['sandwich'],,snackshop
2548226142,41.1528204,-81.3565359,Laziza,,http://www.yourlaziza.com/,restaurant,,israeli;mediterranean,,restaurant,"['israeli', 'mediterranean']",www yourlaziza com,Laziza  www yourlaziza com
2793595631,41.1528372,-81.3571555,Tree City Coffee,,,cafe,,coffee_shop,,cafe,['coffee'],,Tree City Coffee
2793595633,41.1529687,-81.3568737,The Fruit Stand,,https://thefruitstandohio.com/,restaurant,,breakfast,Mo-Su 09:00-19:00,restaurant,['breakfast'],thefruitstandohio com,The Fruit Stand  thefruitstandohio com
2793639793,41.1525332,-81.3567518,Bricco,,,restaurant,,italian,,restaurant,['italian'],,Bricco
2793641019,41.1525483,-81.3572834,Barflyy,,,restaurant,,burger,,restaurant,['burger'],,Barflyy
2793641021,41.1525315,-81.3579691,Fresco,,,restaurant,,mexican,,restaurant,['mexican'],,Fresco
2794798756,41.1536252,-81.3566513,Buffalo Wild Wings,Buffalo Wild Wings,,restaurant,,wings,,restaurant,['wings'],,Buffalo Wild Wings Buffalo Wild Wings
2794798757,41.1536266,-81.3567479,Beware of the Leopard,,,bar,,,,bar,[],,Beware of the Leopard
2794798758,41.1539359,-81.3567855,Jimmy John's,Jimmy John's,https://locations.jimmyjohns.com/oh/kent/sandwiches-653.html,fast_food,,sandwich,,fast_food,['sandwich'],locations jimmyjohns com,Jimmy John's Jimmy John's locations jimmyjohns com
2797783440,41.1536211,-81.3577054,Troy Grille,,https://troygrille.com/,restaurant,,turkish,Mo-Sa 12:00-20:00,restaurant,['turkish'],troygrille com,Troy Grille  troygrille com
2797880782,41.1525594,-81.3574648,Georgio's,,,restaurant,,pizza,,restaurant,['pizza'],,Georgio's
