"id","osm_id","osm_type","name","latitude","longitude","amenity","shop","address","addr_housenumber","addr_street","addr_city","addr_state","addr_postcode","addr_country","addr_unit","addr_suite","phone","email","website","contact_facebook","contact_instagram","contact_twitter","contact_youtube","website_menu","opening_hours","cuisine","cuisine_source","cuisine_confidence","cuisine_ai_error","cuisine_classified_at","brand","brand_wikidata","operator","takeaway","delivery","drive_through","drive_in","reservation","smoking","indoor_seating","outdoor_seating","wheelchair","toilets","toilets_wheelchair","highchair","changing_table","internet_access","internet_access_fee","air_conditioning","diet_vegetarian","diet_vegan","diet_gluten_free","diet_halal","diet_kosher","lgbtq","bar","payment_cash","payment_credit_cards","payment_debit_cards","payment_contactless","payment_mobile","check_date","source","notes","status","enrichment_status","enrichment_attempted_at","created_at","updated_at"
1,"357532572","node","Hudson 29 Kitchen + Drink",40.0073223,-83.052998,"restaurant",,"Hudson 29 Kitchen + Drink, 1600, West Lane Avenue, Columbus, Sharon, Franklin County, Ohio, 43221, United States","1600","West Lane Avenue","Columbus","OH","43221","US",,,,,,,,,,,"Mo-Th 11:30-21:00; Fr 11:30-22:00; Sa 11:00-22:00; Su 11:00-21:00",,,,,,,,,,,,,,,,,"yes",,,,,,,,,,,,,,,,,,,,"2025-05-12",,,"active","reverse_geocoded","2025-12-01T00:58:27.358Z","2025-12-01T00:58:26.618Z","2025-12-01T00:58:27.359Z"
2,"368153502","node","Columbus Municipal Building",39.8983972,-82.5412707,"public_building",,"Columbus Municipal Building, Refugee Street, Millersport, Walnut Township, Fairfield County, Ohio, 43046, United States",,"Refugee Street","Millersport","OH","43046","US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS Geonames",,"active","reverse_geocoded","2025-12-01T00:58:28.718Z","2025-12-01T00:58:26.628Z","2025-12-01T00:58:28.719Z"
3,"368153538","node","Whitehall Municipal Building",39.9680556,-82.8844444,"public_building",,"Whitehall Municipal Building, Broadhurst Drive, Whitehall, Franklin County, Ohio, 43213, United States",,"Broadhurst Drive","Whitehall","OH","43213","US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS Geonames",,"active","reverse_geocoded","2025-12-01T00:58:30.269Z","2025-12-01T00:58:26.633Z","2025-12-01T00:58:30.269Z"
4,"368153539","node","Jefferson Township Administration Building",40.0197222,-82.8147222,"public_building",,"Jefferson Township Administration Building, Reynoldsburg - New Albany Road, Havens Corners, Jefferson Township, Franklin County, Ohio, 43004, United States",,"Reynoldsburg - New Albany Road",,"OH","43004","US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS Geonames",,"active","reverse_geocoded","2025-12-01T00:58:31.592Z","2025-12-01T00:58:26.637Z","2025-12-01T00:58:31.592Z"
5,"368153562","node","Carroll Municipal Building",39.7986111,-82.7019444,"public_building",,"Carroll Municipal Building, Park Street, Carroll, Greenfield Township, Fairfield County, Ohio, 43112, United States",,"Park Street","Carroll","OH","43112","US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS Geonames",,"active","reverse_geocoded","2025-12-01T00:58:33.262Z","2025-12-01T00:58:26.641Z","2025-12-01T00:58:33.263Z"
6,"387875051","node","Ten Mile Inn",39.9491661,-83.1932268,"pub",,"Ten Mile Inn, National Road, Alton, Prairie Township, Franklin County, Ohio, 43119, United States",,"National Road",,"OH","43119","US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"local_knowledge; Yahoo",,"active","reverse_geocoded","2025-12-01T00:58:34.571Z","2025-12-01T00:58:26.646Z","2025-12-01T00:58:34.571Z"
7,"503771088","node","MarketPlace",39.994225,-83.014052,"restaurant",,"1578 Neil Avenue, Columbus, OH 43210","1578","Neil Avenue","Columbus","OH","43210","US",,,,,"https://dining.osu.edu/dininglocations/marketplace/",,,,,,,"sandwich","osm",,,,,,,,,,,,,"yes","no","yes",,,,,,,,,,,,,,,,,,,,,"website",,"active","unchanged",,"2025-12-01T00:58:26.650Z","2025-12-01T00:58:26.650Z"
8,"503832641","node","Raising Cane's",39.9949045,-83.006791,"fast_food",,"Raising Cane's, East 11th Avenue, Weinland Park, University District, Columbus, Franklin County, Ohio, 43211, United States",,"East 11th Avenue","Columbus","OH","43211","US",,,,,,,,,,,"Su-We 10:00-23:00, Th-Sa 10:00-03:30","chicken","osm",,,,"Raising Cane's","Q7285144",,"yes",,,,,,"yes","no",,,,,,,,,,,,,,,,,,,,,,,,"active","reverse_geocoded","2025-12-01T00:58:36.508Z","2025-12-01T00:58:26.655Z","2025-12-01T00:58:36.508Z"
9,"503833537","node","Donatos Pizza",39.9911965,-83.0401797,"restaurant",,"Donatos Pizza, King Avenue, Fifth by Northwest, Columbus, Franklin County, Ohio, 43212, United States",,"King Avenue","Columbus","OH","43212","US",,,,,,,,,,,"Su-Th 11:00-24:00, Fr,Sa 11:00-01:00","pizza","osm",,,,"Donatos Pizza","Q1240741",,"yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"active","reverse_geocoded","2025-12-01T00:58:37.666Z","2025-12-01T00:58:26.659Z","2025-12-01T00:58:37.666Z"
10,"504746632","node","Chipotle",39.997545,-83.0074224,"fast_food",,"1726 North High Street, Columbus, OH 43201","1726","North High Street","Columbus","OH","43201",,,,"+1 614-291-0274",,"https://locations.chipotle.com/oh/columbus/1726-n-high-st",,,,,,"Mo-Su 10:45-22:00","mexican","osm",,,,"Chipotle","Q465751",,"yes",,,,,,"yes","no",,,,,,,,,,,,,,,,,,,,,,,,"active","unchanged",,"2025-12-01T00:58:26.711Z","2025-12-01T00:58:26.711Z"
11,"504746633","node","Formaggio Pizza",39.9979881,-83.0069231,"bar",,"Formaggio Pizza, North Pearl Street, Indianola Terrace, Columbus, Sharon, Franklin County, Ohio, 43201, United States",,"North Pearl Street","Columbus","OH","43201","US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"active","reverse_geocoded","2025-12-01T00:58:39.298Z","2025-12-01T00:58:26.715Z","2025-12-01T00:58:39.298Z"
12,"504746645","node","Cazuela's Gateway",39.9939309,-83.0065755,"restaurant",,"Cazuela's Gateway, North High Street, Weinland Park, University District, Columbus, Franklin County, Ohio, 43235, United States",,"North High Street","Columbus","OH","43235","US",,,,,,,,,,,,"mexican","osm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"active","reverse_geocoded","2025-12-01T00:58:40.601Z","2025-12-01T00:58:26.720Z","2025-12-01T00:58:40.601Z"
13,"506392220","node","Noodles & Company",40.0056801,-83.0089997,"restaurant",,"2124 North High Street, Columbus, OH 43201","2124","North High Street","Columbus","OH","43201",,,,"+1 614-453-1095",,"https://order.noodles.com/location/noodles-lane-high/menu",,,,,,"10:30-23:00","pasta","osm",,,,"Noodles & Company","Q7049673",,,,,,,,,,"yes",,,,,,,,"yes",,,,,,,,,,,,,,,"active","unchanged",,"2025-12-01T00:58:26.724Z","2025-12-01T00:58:26.724Z"
14,"506392229","node","United Dairy Farmers",40.0051812,-83.0086682,"ice_cream","convenience","United Dairy Farmers, Frambes Avenue, Indianola Forest, University District District 1, Columbus, Sharon, Franklin County, Ohio, 43210, United States",,"Frambes Avenue","Columbus","OH","43210","US",,,,,,,,,,,"Mo-Su 05:00-01:00",,,,,,"United Dairy Farmers","Q7887677",,,,,,,,,,"yes",,,,,,,,,,,,,,,,,,,,,,,"active","reverse_geocoded","2025-12-01T00:58:42.398Z","2025-12-01T00:58:26.728Z","2025-12-01T00:58:42.399Z"
15,"506394454","node","Moy's Chinese Restaurant",40.0029102,-83.0084676,"restaurant",,"Moy's Chinese Restaurant, North High Street, University District District 1, Columbus, Sharon, Franklin County, Ohio, 43235, United States",,"North High Street","Columbus","OH","43235","US",,,,,,,,,,,"Mo-Fr 11:30+; Sa,Su 17:00+; PH off","chinese","osm",,,,,,,,,,,,,,,"no",,,,,,,,,,,,,,,,,,,,"2025-03-22",,,"active","reverse_geocoded","2025-12-01T00:58:43.646Z","2025-12-01T00:58:26.733Z","2025-12-01T00:58:43.646Z"
16,"506394455","node","Buckeye Donuts",40.0030695,-83.0085003,"cafe",,"1998 North High Street, Columbus, OH 43201","1998","North High Street","Columbus","OH","43201",,,,,,"https://buckeyedonuts.net/",,,,,,"24/7","coffee_shop","osm",,,,,,,,,,,,,,,"yes",,,,,,,,"yes",,,,,,,,"yes","yes",,,,,,"active","unchanged",,"2025-12-01T00:58:26.737Z","2025-12-01T00:58:26.737Z"
17,"506822462","node","Jimmy John's",39.9874886,-83.0282432,"fast_food",,"843 West 5th, Columbus, OH 43212","843","West 5th","Columbus","OH","43212",,,,"+1 614-424-8800",,"https://locations.jimmyjohns.com/oh/columbus/sandwiches-119.html",,,,,,,"sandwich","osm",,,,"Jimmy John's","Q1689380",,"yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"active","unchanged",,"2025-12-01T00:58:26.741Z","2025-12-01T00:58:26.741Z"
18,"506822463","node","Burger King",39.9875591,-83.0277694,"fast_food",,"817 West 5th Avenue, Columbus, OH 43212-2632","817","West 5th Avenue","Columbus","OH","43212-2632",,,,"+1 614-421-1931",,"https://www.bk.com/store-locator/store/restaurant_4320",,,,,,"Mo-Sa 06:00-22:00","burger","osm",,,,"Burger King","Q177054",,"yes","yes","yes",,,,,,,,,,,"wlan",,,,,,,,,,,,,,,,,,"active","unchanged",,"2025-12-01T00:58:26.745Z","2025-12-01T00:58:26.746Z"
19,"506822848","node","The Vic Village Tavern",39.9872202,-83.0124666,"pub",,"251 West Fifth Avenue, Columbus, OH 43201","251","West Fifth Avenue","Columbus","OH","43201",,,,"+1-614-299-2295","nick@theshrunkenheadcolumbus.com","https://www.theshrunkenheadcolumbus.com","https://www.facebook.com/theshrunkenhead/","theshrunkenhead",,,,"Mo-Sa 15:00-02:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"active","unchanged",,"2025-12-01T00:58:26.750Z","2025-12-01T00:58:26.750Z"
20,"506852579","node","Papa John's",39.9885605,-83.0327665,"fast_food",,"Papa John's, West 5th Avenue, Fifth by Northwest, Columbus, Franklin County, Ohio, 43212, United States",,"West 5th Avenue","Columbus","OH","43212","US",,,,,,,,,,,,"pizza","osm",,,,"Papa John's","Q2759586",,"yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"active","reverse_geocoded","2025-12-01T00:58:45.228Z","2025-12-01T00:58:26.754Z","2025-12-01T00:58:45.228Z"
21,"506852580","node","Buffalo Wild Wings",39.9886591,-83.0321056,"restaurant",,"968 West 5th Avenue, Columbus, OH 43212","968","West 5th Avenue","Columbus","OH","43212",,,,,,,,,,,,"Mo-Su 11:00-23:00; Th-Sa 11:00-24:00","wings","osm",,,,"Buffalo Wild Wings","Q509255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"active","unchanged",,"2025-12-01T00:58:26.759Z","2025-12-01T00:58:26.759Z"
22,"506852583","node","Coco's Grill",39.9875017,-83.0283977,"restaurant",,"Coco's Grill, West 5th Avenue, Fifth by Northwest, Columbus, Franklin County, Ohio, 43212, United States",,"West 5th Avenue","Columbus","OH","43212","US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"active","reverse_geocoded","2025-12-01T00:58:46.576Z","2025-12-01T00:58:26.763Z","2025-12-01T00:58:46.576Z"
23,"506852590","node","Oshio Sushi Kitchen",39.9885473,-83.0323717,"restaurant",,"Oshio Sushi Kitchen, West 5th Avenue, Fifth by Northwest, Columbus, Franklin County, Ohio, 43212, United States",,"West 5th Avenue","Columbus","OH","43212","US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"active","reverse_geocoded","2025-12-01T00:58:48.211Z","2025-12-01T00:58:26.767Z","2025-12-01T00:58:48.211Z"
24,"508029107","node","Little Caesars",40.0148402,-83.0105167,"fast_food",,"Little Caesars, North Pearl Street, Old North Columbus, University District District 2, Columbus, Sharon, Franklin County, Ohio, 43202, United States",,"North Pearl Street","Columbus","OH","43202","US",,,,,"https://littlecaesars.com/en-us/store/10872/",,,,,,,"pizza","osm",,,,"Little Caesars","Q1393809",,"yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"active","reverse_geocoded","2025-12-01T00:58:49.622Z","2025-12-01T00:58:26.771Z","2025-12-01T00:58:49.622Z"
25,"508029110","node","Mama Mimi's Take 'n Bake Pizza",40.0217303,-83.0136638,"fast_food",,"Mama Mimi's Take 'n Bake Pizza, West Kelso Road, Olentangy Village, Clintonville, Columbus, Sharon, Franklin County, Ohio, 43202, United States",,"West Kelso Road","Columbus","OH","43202","US",,,,,,,,,,,,"pizza","osm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"active","reverse_geocoded","2025-12-01T00:58:51.300Z","2025-12-01T00:58:26.775Z","2025-12-01T00:58:51.301Z"
26,"508029111","node","Aladdin's Eatery",40.0219891,-83.0135189,"restaurant",,"2931 North High Street, Columbus, OH 43202","2931","North High Street","Columbus","OH","43202",,,,"+1 614-262-2414",,"https://aladdins.com",,,,,,,"lebanese","osm",,,,"Aladdin's Eatery","Q4705482",,,,,,,,,,"limited",,,,,,,,,,,,,,,,,,,,,,,"active","unchanged",,"2025-12-01T00:58:26.779Z","2025-12-01T00:58:26.779Z"
