Name,Type,Cuisine,City,Street,Postcode,Website,Latitude,Longitude,Status
Ken Stewart's,restaurant,,,,,,41.1133639,-81.578618,needs_fix
Larry's Main Entrance,bar,,,,,,41.1132883,-81.5784014,needs_fix
da Bayou,restaurant,,,,,,41.1373339,-81.5485525,needs_fix
Vine Valley Mediterranean Cuisine,restaurant,,,,,,41.1370914,-81.5484452,needs_fix
Brubaker's,pub,,,,,,41.136647,-81.5525114,needs_fix
Bourbon Street,pub,,,,,,41.1364369,-81.5526509,needs_fix
Johnny J's Pub & Grille,pub,,,,,,41.1367448,-81.5527904,needs_fix
Big Fish,pub,,,,,,41.1367763,-81.5532303,needs_fix
The Dorm,pub,,,,,,41.1366632,-81.5533268,needs_fix
Saffron Patch,restaurant,indian,,,,,41.1359525,-81.5531193,needs_fix
The Noisy Oyster,pub,,,,,,41.1320007,-81.5491104,needs_fix
The Getaway Pub,pub,,,,,,41.1344572,-81.5485632,needs_fix
DQ Grill & Chill,fast_food,ice_cream;burger,Kent,South Water Street,44240-3847,https://www.dairyqueen.com/locations/oh/kent/1443-s-water-st/14304,41.140498,-81.3564348,valid
Jubilee Donuts,fast_food,,,,,,41.1457489,-81.4733791,needs_fix
El Meson,restaurant,mexican,,,,,41.1397728,-81.4911495,needs_fix
Mandarin House,restaurant,,,,,,41.1589599,-81.5097613,needs_fix
KFC,fast_food,chicken,Cuyahoga Falls,State Road,44223,https://locations.kfc.com/oh/cuyahoga-falls/1792-state-road,41.1311428,-81.5088198,valid
McDonald's,fast_food,burger,Cuyahoga Falls,State Road,44223-1305,https://www.mcdonalds.com/us/en-us/location/276.html,41.1310782,-81.5077362,valid
Alladin's Eatery,restaurant,middle_eastern,,,,,41.2406635,-81.4426647,needs_fix
Tomato Grill,restaurant,italian,,,,,41.2420325,-81.442233,needs_fix
Cold Stone Creamery,ice_cream,ice_cream,Hudson,Park Lane,44236,https://www.coldstonecreamery.com/stores/21490,41.2406848,-81.4429207,valid
Comida Mexican Restaurant,restaurant,mexican,,,,,41.2406882,-81.4423608,needs_fix
First Row Centre for the Arts and Coffee Shop,pub,,,State Street NW,44630,http://www.firstrowcfa.com,40.927248,-81.4025729,valid
The Basement,bar,,Kent,Cascades Boulevard,44240,,41.0953358,-81.3883985,valid
DQ Grill & Chill,fast_food,ice_cream;burger,Kent,Cascades Boulevard,44240-8034,https://www.dairyqueen.com/locations/oh/kent/4050-cascades-blvd-unit-a/14293,41.0999265,-81.3859343,valid
La Terraza Mexican Bar & Grill,restaurant,mexican,Kent,Cascades Boulevard,44240,,41.0961011,-81.3883571,valid
Pizza Hut,restaurant,pizza,Kent,State Highway 43,44240,https://locations.pizzahut.com/oh/kent/4118-state-hwy-43,41.1019995,-81.3459376,valid
Subway,fast_food,sandwich,Kent,State Route 43,44240,https://restaurants.subway.com/united-states/oh/kent/4068-sr-43,41.1005633,-81.3434773,valid
Chipotle,fast_food,mexican,Streetsboro,State Route 14,44241,https://locations.chipotle.com/oh/streetsboro/9754-state-route-14,41.2509978,-81.3635032,valid
Sonic,fast_food,burger,Streetsboro,State Route 14,44241,https://locations.sonicdrivein.com/oh/streetsboro/9780-state-route-14.html,41.2516314,-81.364547,valid
Chiban,restaurant,japanese,,,,,41.1343194,-81.5080726,needs_fix
Arthur Treacher's Fish and Chips,fast_food,fish_and_chips,,,,,41.1319386,-81.508141,needs_fix
Subway,fast_food,sandwich,Cuyahoga Falls,State Road,44223,https://restaurants.subway.com/united-states/oh/cuyahoga-falls/1939-state-road,41.1336861,-81.5081222,valid
Chowder House,restaurant,seafood,,,,,41.1288405,-81.5077494,needs_fix
Subway,fast_food,sandwich,Cuyahoga Falls,State Road,44223,https://restaurants.subway.com/united-states/oh/cuyahoga-falls/2924-state-road,41.1511409,-81.5090103,valid
Barley House,pub,,,,,,41.0790239,-81.5207175,needs_fix
Wildcat Cafe,restaurant,american,,,,,41.0513199,-81.39896,needs_fix
Chipotle,fast_food,mexican,Akron,West Market Street,44303,https://locations.chipotle.com/oh/akron/825-w-market-st,41.0969622,-81.5438491,valid
Wally Waffle,restaurant,breakfast,,,,,41.0970972,-81.5442019,needs_fix
Irie Jamaican Kitchen,restaurant,jamaican,Akron,West Market Street,44303,https://www.iriejakitchen.com/,41.0970568,-81.5440889,valid
Upper Crust,restaurant,pizza,Akron,West Market Street,44303,https://www.uppercrustoh.com/akron,41.0970159,-81.5439845,valid
The Porch,restaurant,,Kent,,,https://www.kent.edu/dining/student-center-lower-level,41.1476665,-81.3429495,needs_fix
Jazzman's Cyber Cafe,cafe,coffee_shop,Kent,,,https://www.kent.edu/dining/student-center-lower-level,41.1476721,-81.3431531,needs_fix
The Tandoori Oven,restaurant,indian,Kent,,,https://www.kent.edu/dining/kent-markets,41.1478389,-81.3431676,needs_fix
Fresh Inspirations,restaurant,american,,,,https://www.kent.edu/dining/kent-markets,41.147842,-81.3431991,needs_fix
Olives,restaurant,italian,Kent,,,https://www.kent.edu/dining/kent-markets,41.1478641,-81.343231,needs_fix
Market Grill,restaurant,burger;american,Kent,,,https://www.kent.edu/dining/kent-markets,41.1479035,-81.3432489,needs_fix
DI Dining Facility,restaurant,,,,,https://www.kent.edu/dining/design-innovation-dining,41.14998,-81.3467233,needs_fix
Penn Station,fast_food,sandwich,Kent,,,,41.1543431,-81.3526364,needs_fix
Bruno's Authentic Pizza,restaurant,pizza,,,,,41.1545653,-81.3523579,needs_fix
Summit Street Cafe,restaurant,ice_cream,Kent,,,https://www.kent.edu/dining/summit-street-cafe-1,41.141413,-81.3402224,needs_fix
snackshop,cafe,sandwich,Kent,,,,41.1472973,-81.3482523,needs_fix
Flipside,restaurant,burger,,,,,41.241447,-81.4427605,needs_fix
One Red Door,restaurant,american,,,,,41.2414453,-81.4429141,needs_fix
Swensons,restaurant,burger,,,,,41.1549171,-81.400949,needs_fix
Panera Bread,fast_food,sandwich;bakery,Hudson,West Streetsboro Street,44236,https://locations.panerabread.com/oh/hudson/118-w-streetsboro-street.html,41.2388845,-81.446488,valid
Lulu's,restaurant,frozen_yogurt,Hudson,Library Street,44236,,41.2407088,-81.4432648,valid
Chipotle,fast_food,mexican,Hudson,Atterbury Boulevard,44236,https://locations.chipotle.com/oh/hudson/5-atterbury-blvd,41.240259,-81.4454207,valid
Laziza,restaurant,israeli;mediterranean,Kent,,,http://www.yourlaziza.com/,41.1528204,-81.3565359,needs_fix
Slim Chickens,fast_food,chicken,Streetsboro,Cleveland East Liverpool Road,44241,https://slimchickens.com/,41.2446412,-81.3573782,valid
Dunkin' Donuts,fast_food,donut;coffee_shop,Streetsboro,Cleve E Liverpool Road,44241,https://locations.dunkindonuts.com/en/oh/streetsboro/9168-state-route-14/338519,41.2397236,-81.3428393,valid
Baskin-Robbins,ice_cream,ice_cream,Streetsboro,Cleve E Liverpool Road,44241,https://locations.baskinrobbins.com/oh/streetsboro/9168-state-route-14,41.2397397,-81.3427937,valid
Wendy's,fast_food,burger,Streetsboro,Cleveland East Liverpool Road,44241,,41.2388725,-81.3415947,valid
El Campesino Mexican Restaurant,restaurant,mexican,Streetsboro,Cleve E Liverpool Road,44241,http://www.elcampesinostow.com,41.2388886,-81.3422143,valid
Taco Bell,fast_food,tex-mex,Streetsboro,Cleve E Liverpool Road,44241,https://locations.tacobell.com/oh/streetsboro/9223-st-rte-14.html,41.2389486,-81.3434508,valid
Pizza Hut,restaurant,pizza,Akron,South Main Street,44319,https://locations.pizzahut.com/oh/akron/2383-s-main-st,41.0222962,-81.5258601,valid
kevin o'briens,pub,,,,,,41.038955,-81.5265234,needs_fix
Stadium Pub,bar,,,,,,41.0392082,-81.5265165,needs_fix
Waterloo Restaurant,restaurant,american,,East Waterloo Road,44319,https://waterloorestaurant.com/,41.0291776,-81.5120126,valid
Bruegger's Bagels,fast_food,bagel,hudson,,44236,,41.2396995,-81.4453315,needs_fix
Tree City Coffee,cafe,coffee_shop,,,,,41.1528372,-81.3571555,needs_fix
The Fruit Stand,restaurant,breakfast,,East Erie Street,44240,https://thefruitstandohio.com/,41.1529687,-81.3568737,valid
Bricco,restaurant,italian,,,,,41.1525332,-81.3567518,needs_fix
Barflyy,restaurant,burger,,,,,41.1525483,-81.3572834,needs_fix
Fresco,restaurant,mexican,,,,,41.1525315,-81.3579691,needs_fix
Buffalo Wild Wings,restaurant,wings,,,,,41.1536252,-81.3566513,needs_fix
Beware of the Leopard,bar,,Kent,East Main Street,44240,,41.1536266,-81.3567479,valid
Jimmy John's,fast_food,sandwich,Kent,East Main Street,44240,https://locations.jimmyjohns.com/oh/kent/sandwiches-653.html,41.1539359,-81.3567855,valid
Troy Grille,restaurant,turkish,Kent,East Main Street,44240,https://troygrille.com/,41.1536211,-81.3577054,valid
Georgio's,restaurant,pizza,Kent,,,,41.1525594,-81.3574648,needs_fix
D.P. Dough,restaurant,calzone,Kent,South Water Street,44240,https://www.dpdough.com/,41.1523381,-81.3579905,valid
Barrio,restaurant,mexican,kent,South Water Street,,https://barrio-tacos.com/,41.1520437,-81.3579949,valid
Insomnia Cookies,pastry,,Kent,South Water Street,,,41.1519944,-81.3579812,valid
Panini's,pub,sandwich,,,44240,https://paninisgrill.com/,41.1516279,-81.3579994,needs_fix
101 Bottles of Beer on the Wall,bar,,,,,,41.1544382,-81.3527689,needs_fix
Subway,fast_food,sandwich,Akron,Manchester Road,44319,https://restaurants.subway.com/united-states/oh/akron/3235-manchester-rd,41.0112033,-81.5533472,valid
DA Guild Pizza,restaurant,pizza,Akron,Manchester Road,44319,,41.0118072,-81.553409,valid
The Upper Deck Bar & Grill,bar,,Akron,West Turkeyfoot Lake Road,44319,,40.9799568,-81.5340731,valid
Applebee's,restaurant,american,Alliance,West State Street,44601,https://restaurants.applebees.com/en-us/oh/alliance/2600-w.-state-st.-95062,40.9015708,-81.1582006,valid
Burrito-Del-Rey,fast_food,mexican,Kent,,,https://www.kent.edu/dining/prentice-hall,41.1512356,-81.343008,needs_fix
Buffalo Wild Wings,restaurant,wings,,,,,41.0763204,-81.5220363,needs_fix
Jimmy John's,fast_food,sandwich,Akron,South Main Street,44311,https://locations.jimmyjohns.com/oh/akron/sandwiches-1122.html,41.0757779,-81.5224174,valid
Pad Thai,restaurant,sushi;thai,,,,,41.0762232,-81.5217174,needs_fix
The Bakery at Hattie's Cafe,bakery,,,,,,41.0795669,-81.5197563,needs_fix
The Lockview,restaurant,,,,,,41.0797737,-81.519605,needs_fix
Baxter's,pub,,,,,,41.079839,-81.5195569,needs_fix
Dante Boccuzzi Akron,restaurant,,Akron,Furnace Street,44308,,41.0887162,-81.5154915,valid
Luigi's,restaurant,,Akron,North Main Street,44308,,41.0878905,-81.5153713,valid
Jilly's Music Room,pub,,Akron,North Main Street,44308,,41.0880462,-81.5152882,valid
Subway,fast_food,sandwich,Akron,North Main Street,44308,https://restaurants.subway.com/united-states/oh/akron/10-n-main-st,41.0853831,-81.5170165,valid
Einstein's Bagels,restaurant,,Akron,North Main Street,44308,,41.0857435,-81.5168614,valid
D.P. Dough Akron,restaurant,,,,,,41.07609,-81.5214425,needs_fix
Eddies Cheesesteak,fast_food,,,,,,41.0812479,-81.5185982,needs_fix
Nuevo,restaurant,,,,,,41.0821759,-81.5169822,needs_fix
Hudson's Restaurant,restaurant,american,,,,,41.2410705,-81.4406484,needs_fix
Kepner's Tavern,bar,,,,,,41.2411583,-81.4406484,needs_fix
Downtown 140,restaurant,,,,,,41.2419072,-81.4406414,needs_fix
Open Door Coffee Co.,cafe,coffee_shop,,,,,41.2422057,-81.4406375,needs_fix
The Boulevard Tavern,bar,,,,,,41.1292955,-81.4893473,needs_fix
Chestnut Beer Garden,bar,,,,,,41.1292722,-81.489673,needs_fix
Mickey's In the Valley,pub,,,,,,41.1369148,-81.5531724,needs_fix
Cal's Restaurant and Pizza,restaurant,,,,,,41.2781072,-81.0900104,needs_fix
Jimmy John's,fast_food,sandwich,,,,,41.2423121,-81.1778012,needs_fix
Jimmy John's,fast_food,sandwich,Mantua,,44255,https://locations.jimmyjohns.com/oh/mantua/sandwiches-4299.html,41.2448131,-81.1759212,needs_fix
FreshÃ«ns,fast_food,juice;salad,,,,,41.2423717,-81.177711,needs_fix
FreshÃ«ns,fast_food,juice;salad,,,,,41.2447526,-81.1760101,needs_fix
Wendy's,fast_food,burger,,,,,41.2424312,-81.1776209,needs_fix
Wendy's,fast_food,burger,,,,,41.244692,-81.1760991,needs_fix
Dunkin',fast_food,donut;coffee_shop,Mantua,Limeridge Road,44255,https://locations.dunkindonuts.com/en/oh/mantua/9250-limeridge-rd/363401,41.2424907,-81.1775307,valid
Dunkin',fast_food,donut;coffee_shop,Mantua,Limeridge Road,44255,https://locations.dunkindonuts.com/en/oh/mantua/9270-limeridge-rd/363402,41.2446315,-81.176188,valid
Urban Eats Cafe,restaurant,,Akron,Maiden Lane,44308,,41.0854969,-81.5157896,valid
Crave,restaurant,,Akron,East Market Street,44308,,41.0850497,-81.5158145,valid
Baxter's Speakeasy,bar,,Akron,North High Street,44308,https://baxtersspeakeasy.com/,41.0854207,-81.5155142,valid
Chipotle,fast_food,mexican,Kent,Cascades Boulevard,44240,https://locations.chipotle.com/oh/kent/4050-cascades-blvd,41.0996203,-81.3859234,valid
Hartville Kitchen,restaurant,,,,,https://www.hartvillekitchen.com/,40.9721819,-81.3601205,needs_fix
Hungry Howie's,fast_food,pizza,,,,,41.1537027,-81.3363531,needs_fix
Little Caesars,fast_food,pizza,,,,,41.1545238,-81.3352562,needs_fix
Evergreen Buffet,restaurant,chinese,,,,,41.1550385,-81.3339994,needs_fix
East of Chicago Pizza,fast_food,pizza,,,,,41.1550303,-81.3339182,needs_fix
Wild Papaya,restaurant,thai,,,,,41.1550344,-81.3337342,needs_fix
Juice And Smoothie Bar,fast_food,,,,,,41.1543005,-81.3318853,needs_fix
Subway,fast_food,sandwich,Kent,East Main Street,44240,https://restaurants.subway.com/united-states/oh/kent/1709-e-main-st,41.1560597,-81.3328198,valid
China City,restaurant,chinese,,,,,41.1398047,-81.3593519,needs_fix
Domino's,fast_food,pizza,Kent,South Water Street,44240,https://pizza.dominos.com/ohio/kent/1413-s-water-street,41.1407408,-81.3565772,valid
Venice Cafe,bar,,,,,,41.1528386,-81.3589169,needs_fix
Erie Street Kitchen,restaurant,,Kent,,44240,,41.1528396,-81.3587714,needs_fix
The Sideline,fast_food,american,,,,,41.1392415,-81.3147062,needs_fix
The Sideline,fast_food,american,,,,,41.138866,-81.3146988,needs_fix
Subway,fast_food,sandwich,Munroe Falls,South Main Street,44262,https://restaurants.subway.com/united-states/oh/munroe-falls/14-south-main-street,41.1392233,-81.4386638,valid
Great Wall,restaurant,chinese,Munroe Falls,South Main Street,,,41.1390708,-81.43868,valid
Starbucks,cafe,coffee_shop,Hudson,South Main Street,44236,https://www.starbucks.com/store-locator/store/8778/hudson-south-main-street-85-south-main-street-hudson-oh-442363073-us,41.2364162,-81.4399885,valid
Awaken Bake Company,bakery,,Hudson,South Main Street,44236,,41.2365556,-81.4399886,valid
Gionino's Pizzaria,restaurant,pizza,Hudson,West Streetsboro Street,44236,,41.2397808,-81.4428763,valid
Noble House,restaurant,chinese,Hudson,West Streetsboro Street,44236,,41.2398149,-81.4427473,valid
Hershey's Ice Cream,ice_cream,,Hudson,West Streetsboro Street,44236,,41.2395149,-81.4422084,valid
"Peace, Love, and Little Donuts",restaurant,donut,Hudson,South Main Street,44326,,41.2378814,-81.4397406,valid
Restore Cold Pressed,restaurant,juice,Hudson,Park Lane,44236,https://www.restorecoldpressed.com/,41.2406856,-81.4422303,valid
Firehouse,bar,,,,,,41.0032471,-81.4087426,needs_fix
Steak 'n Shake,fast_food,burger,Akron,East Exchange Street,44325,,41.0741476,-81.5164661,valid
Starbucks,cafe,coffee_shop,Akron,East Exchange Street,44325,,41.0741265,-81.516409,valid
Cellar Door Coffee Company,cafe,coffee_shop,,,,,41.2839904,-81.0966419,needs_fix
Sean's Pub,pub,,,,,,41.2849015,-81.0977169,needs_fix
Pizza Hut,restaurant,pizza,Garrettsville,State Street,44231,https://locations.pizzahut.com/oh/garrettsville/7999-state-street,41.2875175,-81.1015583,valid
Silver Crik Saloon,bar,,,,,,41.2845508,-81.0978579,needs_fix
