id,name,type,cuisine,city,street,postcode,website,latitude,longitude,status,master_id
13,DQ Grill & Chill,fast_food,ice_cream;burger,Kent,South Water Street,44240-3847,https://www.dairyqueen.com/locations/oh/kent/1443-s-water-st/14304,41.140498,-81.3564348,valid,
17,KFC,fast_food,chicken,Cuyahoga Falls,State Road,44223,https://locations.kfc.com/oh/cuyahoga-falls/1792-state-road,41.1311428,-81.5088198,valid,
18,McDonald's,fast_food,burger,Cuyahoga Falls,State Road,44223-1305,https://www.mcdonalds.com/us/en-us/location/276.html,41.1310782,-81.5077362,valid,
21,Cold Stone Creamery,ice_cream,ice_cream,Hudson,Park Lane,44236,https://www.coldstonecreamery.com/stores/21490,41.2406848,-81.4429207,valid,
23,First Row Centre for the Arts and Coffee Shop,pub,NaN,NaN,State Street NW,44630,http://www.firstrowcfa.com,40.927248,-81.4025729,valid,
24,The Basement,bar,NaN,Kent,Cascades Boulevard,44240,NaN,41.0953358,-81.3883985,valid,
25,DQ Grill & Chill,fast_food,ice_cream;burger,Kent,Cascades Boulevard,44240-8034,https://www.dairyqueen.com/locations/oh/kent/4050-cascades-blvd-unit-a/14293,41.0999265,-81.3859343,valid,
26,La Terraza Mexican Bar & Grill,restaurant,mexican,Kent,Cascades Boulevard,44240,NaN,41.0961011,-81.3883571,valid,
27,Pizza Hut,restaurant,pizza,Kent,State Highway 43,44240,https://locations.pizzahut.com/oh/kent/4118-state-hwy-43,41.1019995,-81.3459376,valid,
28,Subway,fast_food,sandwich,Kent,State Route 43,44240,https://restaurants.subway.com/united-states/oh/kent/4068-sr-43,41.1005633,-81.3434773,valid,
29,Chipotle,fast_food,mexican,Streetsboro,State Route 14,44241,https://locations.chipotle.com/oh/streetsboro/9754-state-route-14,41.2509978,-81.3635032,valid,
30,Sonic,fast_food,burger,Streetsboro,State Route 14,44241,https://locations.sonicdrivein.com/oh/streetsboro/9780-state-route-14.html,41.2516314,-81.364547,valid,
33,Subway,fast_food,sandwich,Cuyahoga Falls,State Road,44223,https://restaurants.subway.com/united-states/oh/cuyahoga-falls/1939-state-road,41.1336861,-81.5081222,valid,
35,Subway,fast_food,sandwich,Cuyahoga Falls,State Road,44223,https://restaurants.subway.com/united-states/oh/cuyahoga-falls/2924-state-road,41.1511409,-81.5090103,valid,
38,Chipotle,fast_food,mexican,Akron,West Market Street,44303,https://locations.chipotle.com/oh/akron/825-w-market-st,41.0969622,-81.5438491,valid,
40,Irie Jamaican Kitchen,restaurant,jamaican,Akron,West Market Street,44303,https://www.iriejakitchen.com/,41.0970568,-81.5440889,valid,
