id,name,website,website_active,osm_exists,score,verified,verification_reason
17,KFC,https://locations.kfc.com/oh/cuyahoga-falls/1792-state-road,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
18,McDonald's,https://www.mcdonalds.com/us/en-us/location/276.html,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
21,Cold Stone Creamery,https://www.coldstonecreamery.com/stores/21490,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
27,Pizza Hut,https://locations.pizzahut.com/oh/kent/4118-state-hwy-43,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
28,Subway,https://restaurants.subway.com/united-states/oh/kent/4068-sr-43,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
29,Chipotle,https://locations.chipotle.com/oh/streetsboro/9754-state-route-14,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
30,Sonic,https://locations.sonicdrivein.com/oh/streetsboro/9780-state-route-14.html,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
33,Subway,https://restaurants.subway.com/united-states/oh/cuyahoga-falls/1939-state-road,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
35,Subway,https://restaurants.subway.com/united-states/oh/cuyahoga-falls/2924-state-road,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
38,Chipotle,https://locations.chipotle.com/oh/akron/825-w-market-st,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
40,Irie Jamaican Kitchen,https://www.iriejakitchen.com/,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
41,Upper Crust,https://www.uppercrustoh.com/akron,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
13,DQ Grill & Chill,https://www.dairyqueen.com/locations/oh/kent/1443-s-water-st/14304,False,True,2,False,"Website inactive, Found in OSM, Low verification score"
56,Panera Bread,https://locations.panerabread.com/oh/hudson/118-w-streetsboro-street.html,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
169,Wendy's,https://locations.wendys.com/united-states/oh/alliance/1833-w-state-st,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
172,Burger King,https://www.bk.com/store-locator/store/restaurant_705,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
173,Subway,https://restaurants.subway.com/united-states/oh/stow/4301-kent-rd,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
174,Chipotle,https://locations.chipotle.com/oh/stow/4338-kent-rd,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
217,Subway,https://restaurants.subway.com/united-states/oh/akron/2068-e-market-st,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
23,First Row Centre for the Arts and Coffee Shop,http://www.firstrowcfa.com,False,True,2,False,"Website check failed, Found in OSM, Low verification score"
24,The Basement,NaN,False,True,2,False,"Found in OSM, Low verification score"
25,DQ Grill & Chill,https://www.dairyqueen.com/locations/oh/kent/4050-cascades-blvd-unit-a/14293,False,True,2,False,"Website inactive, Found in OSM, Low verification score"
26,La Terraza Mexican Bar & Grill,NaN,False,True,2,False,"Found in OSM, Low verification score"
221,New China,https://us.chinesemenu.com/m/101332176.htm,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
225,Einstein Bros. Bagels,https://locations.einsteinbros.com/us/oh/akron/1751-w-exchange-st,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
226,Altieri's Pizza,http://www.altierispizza.com/,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
227,Panda Garden,http://alliancepandagarden.com/,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
267,Great Garden,http://www.greatgarden1065.com/,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
268,Swensons,https://swensonsdriveins.com/,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
273,Starbucks,https://www.starbucks.com/store-locator/store/1008805/streetsboro-commons-9712-singletary-drive-streetsboro-oh-44241-us,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
57,Lulu's,NaN,False,True,2,False,"Found in OSM, Low verification score"
58,Chipotle,https://locations.chipotle.com/oh/hudson/5-atterbury-blvd,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
60,Slim Chickens,https://slimchickens.com/,False,True,2,False,"Website inactive, Found in OSM, Low verification score"
63,Wendy's,NaN,False,True,2,False,"Found in OSM, Low verification score"
61,Dunkin' Donuts,https://locations.dunkindonuts.com/en/oh/streetsboro/9168-state-route-14/338519,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
62,Baskin-Robbins,https://locations.baskinrobbins.com/oh/streetsboro/9168-state-route-14,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
64,El Campesino Mexican Restaurant,http://www.elcampesinostow.com,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
65,Taco Bell,https://locations.tacobell.com/oh/streetsboro/9223-st-rte-14.html,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
66,Pizza Hut,https://locations.pizzahut.com/oh/akron/2383-s-main-st,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
69,Waterloo Restaurant,https://waterloorestaurant.com/,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
72,The Fruit Stand,https://thefruitstandohio.com/,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
77,Beware of the Leopard,NaN,False,True,2,False,"Found in OSM, Low verification score"
78,Jimmy John's,https://locations.jimmyjohns.com/oh/kent/sandwiches-653.html,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
83,Insomnia Cookies,NaN,False,True,2,False,"Found in OSM, Low verification score"
79,Troy Grille,https://troygrille.com/,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
81,D.P. Dough,https://www.dpdough.com/,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
87,DA Guild Pizza,NaN,False,True,2,False,"Found in OSM, Low verification score"
88,The Upper Deck Bar & Grill,NaN,False,True,2,False,"Found in OSM, Low verification score"
82,Barrio,https://barrio-tacos.com/,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
86,Subway,https://restaurants.subway.com/united-states/oh/akron/3235-manchester-rd,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
89,Applebee's,https://restaurants.applebees.com/en-us/oh/alliance/2600-w.-state-st.-95062,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
92,Jimmy John's,https://locations.jimmyjohns.com/oh/akron/sandwiches-1122.html,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
100,Subway,https://restaurants.subway.com/united-states/oh/akron/10-n-main-st,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
97,Dante Boccuzzi Akron,NaN,False,True,2,False,"Found in OSM, Low verification score"
98,Luigi's,NaN,False,True,2,False,"Found in OSM, Low verification score"
99,Jilly's Music Room,NaN,False,True,2,False,"Found in OSM, Low verification score"
101,Einstein's Bagels,NaN,False,True,2,False,"Found in OSM, Low verification score"
275,Romeo's pizza,https://locations.romeospizza.com/tallmadge/,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
276,Subway,https://restaurants.subway.com/united-states/oh/tallmadge/35-erie-rd,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
281,Subway,https://restaurants.subway.com/united-states/oh/stow/3500-hudson-dr,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
282,Jimmy John's,https://locations.jimmyjohns.com/oh/stow/sandwiches-2082.html,True,True,5,True,"Website active, Found in OSM, Verification score high (>=5)"
121,Urban Eats Cafe,NaN,False,True,2,False,"Found in OSM, Low verification score"
122,Crave,NaN,False,True,2,False,"Found in OSM, Low verification score"
