OsmId,Name,Amenity,Shop,Cuisine,City,Street,HouseNumber,Postcode,Website,Phone,OpeningHours,Latitude,Longitude,OsmTimestamp,OsmTimestampParsed,DaysSinceUpdate,RecentlyUpdated,NameNorm,NameLength,HasCity,HasStreet,HasHouseNumber,HasPostcode,HasWebsite,HasPhone,HasOpeningHours,HasCuisine,HasCoordinates,Geo_OsmId,Geo_Name,Geo_Amenity,Geo_Shop,Geo_Cuisine,Geo_City,Geo_Street,Geo_HouseNumber,Geo_Postcode,Geo_Website,Geo_Phone,Geo_OpeningHours,Geo_Latitude,Geo_Longitude,Geo_OsmTimestamp,Geo_OsmTimestampParsed,Geo_DaysSinceUpdate,Geo_RecentlyUpdated,Geo_NameNorm,Geo_NameLength,Geo_HasCity,Geo_HasStreet,Geo_HasHouseNumber,Geo_HasPostcode,Geo_HasWebsite,Geo_HasPhone,Geo_HasOpeningHours,Geo_HasCuisine,Geo_HasCoordinates,Geo_CityGeo,Geo_StreetGeo,Geo_HouseNumberGeo,Geo_PostcodeGeo,Geo_ReverseAddressGeo
944649483,DQ Grill & Chill,fast_food,,ice_cream;burger,Kent,South Water Street,1443,44240-3847,https://www.dairyqueen.com/locations/oh/kent/1443-s-water-st/14304,+1 330-678-0246,,41.140498,-81.3564348,2024-05-18T11:07:34Z,2024-05-18 11:07:34+00:00,555,0,dq grill & chill,16,1,1,1,1,1,1,0,1,1,944649483,DQ Grill & Chill,fast_food,,ice_cream;burger,Kent,South Water Street,1443,44240-3847,https://www.dairyqueen.com/locations/oh/kent/1443-s-water-st/14304,+1 330-678-0246,,41.140498,-81.3564348,2024-05-18T11:07:34Z,2024-05-18 11:07:34+00:00,555,0,dq grill & chill,16,1,1,1,1,1,1,0,1,1,Kent,South Water Street,1443,44240,"{'amenity': 'DQ Grill & Chill', 'house_number': '1443', 'road': 'South Water Street', 'neighbourhood': 'South End', 'city': 'Kent', 'county': 'Portage County', 'state': 'Ohio', 'ISO3166-2-lvl4': 'US-OH', 'postcode': '44240', 'country': 'United States of America', 'country_code': 'us'}"
944649490,Giant Eagle,,supermarket,,Stow,,,44224,,+1 330-686-7829,Mo-Su 07:00-22:00,41.1532501,-81.4085807,2024-02-07T00:01:05Z,2024-02-07 00:01:05+00:00,657,0,giant eagle,11,1,0,0,1,0,1,1,0,1,944649490,Giant Eagle,,supermarket,,Stow,,,44224,,+1 330-686-7829,Mo-Su 07:00-22:00,41.1532501,-81.4085807,2024-02-07T00:01:05Z,2024-02-07 00:01:05+00:00,657,0,giant eagle,11,1,0,0,1,0,1,1,0,1,Stow,Whit Avenue,,44224,"{'shop': 'Giant Eagle', 'road': 'Whit Avenue', 'hamlet': 'Fish Creek', 'town': 'Stow', 'county': 'Summit County', 'state': 'Ohio', 'ISO3166-2-lvl4': 'US-OH', 'postcode': '44224', 'country': 'United States of America', 'country_code': 'us'}"
944649500,Jubilee Donuts,fast_food,,,,,,,,,,41.1457489,-81.4733791,2010-10-10T21:45:38Z,2010-10-10 21:45:38+00:00,5524,0,jubilee donuts,14,0,0,0,0,0,0,0,0,1,944649500,Jubilee Donuts,fast_food,,,,,,,,,,41.1457489,-81.4733791,2010-10-10T21:45:38Z,2010-10-10 21:45:38+00:00,5524,0,jubilee donuts,14,0,0,0,0,0,0,0,0,1,Cuyahoga Falls,Bailey Road,,44221,"{'amenity': 'Jubilee Donuts', 'road': 'Bailey Road', 'neighbourhood': 'North Village', 'city': 'Cuyahoga Falls', 'county': 'Summit County', 'state': 'Ohio', 'ISO3166-2-lvl4': 'US-OH', 'postcode': '44221', 'country': 'United States of America', 'country_code': 'us'}"
1064712914,El Meson,restaurant,,mexican,,,,,,,,41.1397728,-81.4911495,2024-01-20T23:37:27Z,2024-01-20 23:37:27+00:00,674,0,el meson,8,0,0,0,0,0,0,0,1,1,1064712914,El Meson,restaurant,,mexican,,,,,,,,41.1397728,-81.4911495,2024-01-20T23:37:27Z,2024-01-20 23:37:27+00:00,674,0,el meson,8,0,0,0,0,0,0,0,1,1,Cuyahoga Falls,Portage Trail,,44221,"{'amenity': 'El Meson', 'road': 'Portage Trail', 'neighbourhood': 'West Village', 'city': 'Cuyahoga Falls', 'county': 'Summit County', 'state': 'Ohio', 'ISO3166-2-lvl4': 'US-OH', 'postcode': '44221', 'country': 'United States of America', 'country_code': 'us'}"
1064713373,Mandarin House,restaurant,,,,,,,,,,41.1589599,-81.5097613,2017-12-01T14:14:35Z,2017-12-01 14:14:35+00:00,2915,0,mandarin house,14,0,0,0,0,0,0,0,0,1,1064713373,Mandarin House,restaurant,,,,,,,,,,41.1589599,-81.5097613,2017-12-01T14:14:35Z,2017-12-01 14:14:35+00:00,2915,0,mandarin house,14,0,0,0,0,0,0,0,0,1,Cuyahoga Falls,East Bath Road,,44223,"{'amenity': 'Mandarin House', 'road': 'East Bath Road', 'city': 'Cuyahoga Falls', 'county': 'Summit County', 'state': 'Ohio', 'ISO3166-2-lvl4': 'US-OH', 'postcode': '44223', 'country': 'United States of America', 'country_code': 'us'}"
1064713666,KFC,fast_food,,chicken,Cuyahoga Falls,State Road,1792,44223,https://locations.kfc.com/oh/cuyahoga-falls/1792-state-road,,Su-Th 10:30-23:30; Fr-Sa 10:30-24:00,41.1311428,-81.5088198,2024-05-16T10:25:20Z,2024-05-16 10:25:20+00:00,557,0,kfc,3,1,1,1,1,1,0,1,1,1,1064713666,KFC,fast_food,,chicken,Cuyahoga Falls,State Road,1792,44223,https://locations.kfc.com/oh/cuyahoga-falls/1792-state-road,,Su-Th 10:30-23:30; Fr-Sa 10:30-24:00,41.1311428,-81.5088198,2024-05-16T10:25:20Z,2024-05-16 10:25:20+00:00,557,0,kfc,3,1,1,1,1,1,0,1,1,1,Cuyahoga Falls,State Road,1792,44223,"{'amenity': 'KFC', 'house_number': '1792', 'road': 'State Road', 'city': 'Cuyahoga Falls', 'county': 'Summit County', 'state': 'Ohio', 'ISO3166-2-lvl4': 'US-OH', 'postcode': '44223', 'country': 'United States of America', 'country_code': 'us'}"
1064713794,McDonald's,fast_food,,burger,Cuyahoga Falls,State Road,1787,44223-1305,https://www.mcdonalds.com/us/en-us/location/276.html,+1 330-923-3348,Mo-Sa 05:00-23:00; Su 06:00-23:00,41.1310782,-81.5077362,2024-05-09T11:58:31Z,2024-05-09 11:58:31+00:00,564,0,mcdonald's,10,1,1,1,1,1,1,1,1,1,1064713794,McDonald's,fast_food,,burger,Cuyahoga Falls,State Road,1787,44223-1305,https://www.mcdonalds.com/us/en-us/location/276.html,+1 330-923-3348,Mo-Sa 05:00-23:00; Su 06:00-23:00,41.1310782,-81.5077362,2024-05-09T11:58:31Z,2024-05-09 11:58:31+00:00,564,0,mcdonald's,10,1,1,1,1,1,1,1,1,1,Cuyahoga Falls,State Road,1787,44223,"{'amenity': ""McDonald's"", 'house_number': '1787', 'road': 'State Road', 'city': 'Cuyahoga Falls', 'county': 'Summit County', 'state': 'Ohio', 'ISO3166-2-lvl4': 'US-OH', 'postcode': '44223', 'country': 'United States of America', 'country_code': 'us'}"
1455179678,Alladin's Eatery,restaurant,,middle_eastern,,,,,,,"Mo-Th 11:00-22:00; Fr,Sa 11:00-22:30; Su 11:00-21:30",41.2406635,-81.4426647,2024-09-06T15:13:13Z,2024-09-06 15:13:13+00:00,444,0,alladin's eatery,16,0,0,0,0,0,0,1,1,1,1455179678,Alladin's Eatery,restaurant,,middle_eastern,,,,,,,"Mo-Th 11:00-22:00; Fr,Sa 11:00-22:30; Su 11:00-21:30",41.2406635,-81.4426647,2024-09-06T15:13:13Z,2024-09-06 15:13:13+00:00,444,0,alladin's eatery,16,0,0,0,0,0,0,1,1,1,Hudson,Park Lane,,44326,"{'amenity': ""Alladin's Eatery"", 'road': 'Park Lane', 'retail': 'First & Main Hudson', 'town': 'Hudson', 'county': 'Summit County', 'state': 'Ohio', 'ISO3166-2-lvl4': 'US-OH', 'postcode': '44326', 'country': 'United States of America', 'country_code': 'us'}"
1455179687,Tomato Grill,restaurant,,italian,,,,,,,Mo-Fr 11:30-21:00; Sa 12:00-21:00,41.2420325,-81.442233,2024-07-31T23:35:10Z,2024-07-31 23:35:10+00:00,481,0,tomato grill,12,0,0,0,0,0,0,1,1,1,1455179687,Tomato Grill,restaurant,,italian,,,,,,,Mo-Fr 11:30-21:00; Sa 12:00-21:00,41.2420325,-81.442233,2024-07-31T23:35:10Z,2024-07-31 23:35:10+00:00,481,0,tomato grill,12,0,0,0,0,0,0,1,1,1,Hudson,First Street,,44326,"{'amenity': 'Tomato Grill', 'road': 'First Street', 'retail': 'First & Main Hudson', 'town': 'Hudson', 'county': 'Summit County', 'state': 'Ohio', 'ISO3166-2-lvl4': 'US-OH', 'postcode': '44326', 'country': 'United States of America', 'country_code': 'us'}"
1455179689,Cold Stone Creamery,ice_cream,,ice_cream,Hudson,Park Lane,48,44236,https://www.coldstonecreamery.com/stores/21490,+13306552990,Su-Th 11:00-22:00; Fr-Sa 11:00-23:00,41.2406848,-81.4429207,2024-07-21T23:41:55Z,2024-07-21 23:41:55+00:00,491,0,cold stone creamery,19,1,1,1,1,1,1,1,1,1,1455179689,Cold Stone Creamery,ice_cream,,ice_cream,Hudson,Park Lane,48,44236,https://www.coldstonecreamery.com/stores/21490,+13306552990,Su-Th 11:00-22:00; Fr-Sa 11:00-23:00,41.2406848,-81.4429207,2024-07-21T23:41:55Z,2024-07-21 23:41:55+00:00,491,0,cold stone creamery,19,1,1,1,1,1,1,1,1,1,Hudson,Park Lane,48,44236,"{'amenity': 'Cold Stone Creamery', 'house_number': '48', 'road': 'Park Lane', 'retail': 'First & Main Hudson', 'town': 'Hudson', 'county': 'Summit County', 'state': 'Ohio', 'ISO3166-2-lvl4': 'US-OH', 'postcode': '44236', 'country': 'United States of America', 'country_code': 'us'}"
